epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0525,1.78847,2.79246,1.59479,0.47711,0.49866,0.49703,0.20819,2.01166,2.11023,1.75444,0.000198131,0.000198131,0.080385
2,43.3644,1.75874,1.93083,1.60003,0.70856,0.53294,0.60637,0.25648,1.92806,2.3452,1.6855,0.000398063,0.000398063,0.060585
3,60.6339,1.77787,1.80603,1.61845,0.69109,0.66085,0.70397,0.35254,1.70597,1.87573,1.52579,0.000597725,0.000597725,0.0407846
4,77.7599,1.78079,1.74381,1.66445,0.7527,0.70062,0.72362,0.33623,1.80318,1.50062,1.57627,0.000796913,0.000796913,0.0209838
5,94.9919,1.75562,1.70951,1.64866,0.79988,0.73077,0.7986,0.35917,1.79888,1.37098,1.57985,0.000995424,0.000995424,0.00118234
6,112.157,1.75551,1.69914,1.64476,0.7718,0.69774,0.75628,0.32579,1.85364,1.8913,1.62323,0.000995765,0.000995765,0.000995765
7,129.376,1.72837,1.66129,1.64445,0.74749,0.73226,0.76216,0.30924,1.95673,1.42997,1.67473,0.000993906,0.000993906,0.000993906
8,146.898,1.74523,1.66005,1.64434,0.78468,0.69753,0.75522,0.31518,1.85496,1.5823,1.64388,0.000991711,0.000991711,0.000991711
9,173.926,1.70082,1.59305,1.61148,0.76129,0.69207,0.76671,0.36732,1.72117,1.63521,1.55871,0.000989183,0.000989183,0.000989183
10,190.822,1.69299,1.57478,1.6045,0.85862,0.73658,0.8072,0.39987,1.65942,1.42905,1.48032,0.000986323,0.000986323,0.000986323
11,208.384,1.67786,1.49844,1.58023,0.80616,0.76117,0.78803,0.36625,1.72182,1.40695,1.5479,0.000983133,0.000983133,0.000983133
12,225.506,1.68981,1.55,1.59674,0.79172,0.78063,0.82781,0.38204,1.72548,1.3045,1.53159,0.000979616,0.000979616,0.000979616
13,242.614,1.65936,1.51676,1.58522,0.82896,0.75905,0.83092,0.42645,1.64624,1.28685,1.48309,0.000975773,0.000975773,0.000975773
14,259.209,1.6558,1.52495,1.56481,0.77472,0.80894,0.84759,0.4548,1.5379,1.20612,1.43506,0.000971608,0.000971608,0.000971608
15,276.18,1.63768,1.46923,1.58903,0.85983,0.80483,0.86875,0.46451,1.621,1.13583,1.49061,0.000967122,0.000967122,0.000967122
16,293.802,1.64013,1.4741,1.58912,0.84593,0.82006,0.85861,0.4246,1.70042,1.24521,1.51584,0.00096232,0.00096232,0.00096232
17,310.735,1.63495,1.44103,1.57473,0.8963,0.82335,0.89908,0.50677,1.5233,1.06143,1.4201,0.000957205,0.000957205,0.000957205
18,328.124,1.62158,1.45551,1.57296,0.87918,0.83902,0.89291,0.49344,1.49591,1.09418,1.40483,0.00095178,0.00095178,0.00095178
19,344.978,1.60179,1.43604,1.54467,0.85612,0.82804,0.8925,0.48406,1.55717,1.08678,1.44899,0.000946048,0.000946048,0.000946048
20,362.749,1.60818,1.39813,1.54527,0.903,0.84984,0.9052,0.50966,1.52341,1.0842,1.41036,0.000940014,0.000940014,0.000940014
21,380.121,1.59361,1.39697,1.54188,0.85371,0.81307,0.88429,0.5121,1.46041,1.05781,1.35295,0.000933683,0.000933683,0.000933683
22,397.62,1.61384,1.4186,1.5687,0.90429,0.82077,0.89801,0.53415,1.4011,1.01622,1.37816,0.000927057,0.000927057,0.000927057
23,415.872,1.59518,1.38632,1.52512,0.88885,0.81488,0.8904,0.51432,1.47315,1.15557,1.38065,0.000920142,0.000920142,0.000920142
24,432.484,1.56098,1.30657,1.51398,0.86199,0.81462,0.87146,0.49765,1.53394,1.06264,1.39246,0.000912942,0.000912942,0.000912942
25,450.772,1.58284,1.334,1.53053,0.8417,0.79278,0.85257,0.42156,1.74638,1.20533,1.50015,0.000905463,0.000905463,0.000905463
26,467.971,1.55003,1.33835,1.49143,0.9112,0.85353,0.89846,0.50364,1.48796,1.09377,1.36874,0.00089771,0.00089771,0.00089771
27,485.807,1.5608,1.33403,1.50627,0.83886,0.87068,0.91346,0.53337,1.44492,0.98197,1.36407,0.000889687,0.000889687,0.000889687
28,503.908,1.57772,1.31396,1.51582,0.91163,0.87374,0.92911,0.55584,1.43957,0.98901,1.36072,0.000881401,0.000881401,0.000881401
29,522.338,1.54405,1.28537,1.49308,0.87865,0.84912,0.89792,0.54278,1.46219,1.04304,1.36976,0.000872857,0.000872857,0.000872857
30,539.633,1.546,1.27579,1.51586,0.8109,0.86467,0.87634,0.51451,1.48495,1.08159,1.39486,0.00086406,0.00086406,0.00086406
31,557.488,1.5322,1.31837,1.4795,0.907,0.87811,0.92279,0.58897,1.33193,0.95235,1.31207,0.000855018,0.000855018,0.000855018
32,574.869,1.54584,1.28724,1.48981,0.91028,0.88297,0.91319,0.51835,1.46907,1.08941,1.37365,0.000845736,0.000845736,0.000845736
33,593.222,1.54737,1.2584,1.47645,0.89202,0.88248,0.91302,0.52811,1.48718,0.98693,1.35415,0.00083622,0.00083622,0.00083622
34,611.049,1.53517,1.27019,1.49579,0.89011,0.85452,0.92334,0.54755,1.40587,0.94909,1.34721,0.000826477,0.000826477,0.000826477
35,629.701,1.53011,1.32211,1.47119,0.89384,0.88836,0.92173,0.58105,1.33093,0.95302,1.28976,0.000816514,0.000816514,0.000816514
36,647.353,1.51797,1.24485,1.48073,0.87082,0.84847,0.92498,0.54664,1.42125,0.96975,1.33198,0.000806337,0.000806337,0.000806337
37,665.544,1.50989,1.24242,1.4618,0.90832,0.88065,0.93032,0.57691,1.37232,0.97407,1.32257,0.000795954,0.000795954,0.000795954
38,684.263,1.5177,1.25521,1.47187,0.88954,0.87808,0.90075,0.51428,1.51773,1.04109,1.38394,0.000785371,0.000785371,0.000785371
39,701.485,1.49838,1.20246,1.46256,0.88632,0.87255,0.91004,0.51196,1.5564,0.99326,1.37754,0.000774596,0.000774596,0.000774596
40,719.41,1.4938,1.22593,1.46875,0.92196,0.87558,0.93932,0.54534,1.48182,0.91093,1.34932,0.000763637,0.000763637,0.000763637
41,736.768,1.4951,1.20394,1.45995,0.87636,0.89747,0.9231,0.51799,1.51052,0.95222,1.34475,0.0007525,0.0007525,0.0007525
42,758.295,1.51093,1.1983,1.47089,0.89852,0.90853,0.9322,0.55847,1.35729,0.93805,1.30663,0.000741194,0.000741194,0.000741194
43,788.561,1.47967,1.22515,1.44069,0.90844,0.86546,0.9218,0.57588,1.32524,0.90122,1.30346,0.000729725,0.000729725,0.000729725
44,825.397,1.50066,1.23447,1.46627,0.91036,0.86819,0.91698,0.57445,1.3401,0.91973,1.30583,0.000718103,0.000718103,0.000718103
45,843.885,1.46801,1.20802,1.4455,0.90494,0.85999,0.93681,0.54857,1.47759,0.89499,1.34933,0.000706335,0.000706335,0.000706335
46,860.377,1.45201,1.12005,1.42325,0.88514,0.88956,0.92271,0.54085,1.43264,0.97479,1.32762,0.000694428,0.000694428,0.000694428
47,878.662,1.45448,1.16509,1.4433,0.90995,0.88789,0.93698,0.59359,1.30202,0.83046,1.26592,0.000682392,0.000682392,0.000682392
48,896.052,1.48068,1.15324,1.44718,0.91997,0.9011,0.94558,0.59121,1.30292,0.86522,1.28857,0.000670234,0.000670234,0.000670234
49,916.351,1.45741,1.16783,1.43629,0.90033,0.88622,0.93454,0.52754,1.42353,0.91784,1.31757,0.000657963,0.000657963,0.000657963
50,955.197,1.46541,1.14784,1.43039,0.90457,0.91661,0.93812,0.59212,1.30878,0.91961,1.26286,0.000645588,0.000645588,0.000645588
51,981.807,1.44207,1.15741,1.412,0.90789,0.88339,0.9358,0.56917,1.38491,0.86546,1.31237,0.000633115,0.000633115,0.000633115
52,1007.99,1.42338,1.13586,1.41181,0.90754,0.89282,0.93322,0.59151,1.3138,0.84194,1.26541,0.000620555,0.000620555,0.000620555
53,1025.18,1.45169,1.13488,1.42185,0.94275,0.87214,0.93536,0.61376,1.30954,0.81424,1.26366,0.000607916,0.000607916,0.000607916
54,1043.09,1.44889,1.13737,1.42704,0.9089,0.87862,0.92904,0.60466,1.28087,0.84793,1.25086,0.000595207,0.000595207,0.000595207
55,1060.09,1.43278,1.13118,1.4247,0.90612,0.94696,0.94586,0.596,1.27977,0.79207,1.26573,0.000582435,0.000582435,0.000582435
56,1077.47,1.41726,1.11889,1.40425,0.92879,0.89541,0.94663,0.56811,1.41929,0.81103,1.31891,0.00056961,0.00056961,0.00056961
57,1096.23,1.41914,1.12023,1.41889,0.90919,0.95195,0.95637,0.61739,1.292,0.75407,1.25986,0.000556742,0.000556742,0.000556742
58,1113.83,1.43433,1.11021,1.41678,0.93955,0.92788,0.95477,0.62743,1.28598,0.74871,1.2511,0.000543837,0.000543837,0.000543837
59,1131.26,1.42225,1.09373,1.41132,0.9654,0.94132,0.96658,0.65162,1.20975,0.72235,1.21002,0.000530906,0.000530906,0.000530906
60,1148.86,1.4028,1.05648,1.38621,0.92749,0.91891,0.95647,0.63127,1.26447,0.73223,1.23546,0.000517958,0.000517958,0.000517958
61,1166.67,1.4064,1.11031,1.38767,0.95923,0.93639,0.96918,0.67041,1.15885,0.71192,1.21374,0.000505,0.000505,0.000505
62,1185.16,1.41616,1.1105,1.39927,0.94109,0.91517,0.95093,0.62365,1.2494,0.77978,1.23921,0.000492042,0.000492042,0.000492042
63,1202.78,1.37691,1.0562,1.38377,0.93356,0.8959,0.92957,0.62991,1.23937,0.76961,1.23257,0.000479094,0.000479094,0.000479094
64,1220.25,1.38058,1.05603,1.37535,0.94711,0.90526,0.95965,0.63044,1.24986,0.76532,1.23271,0.000466163,0.000466163,0.000466163
65,1237.48,1.40259,1.0786,1.39901,0.93745,0.88783,0.93676,0.60191,1.3543,0.78321,1.27785,0.000453258,0.000453258,0.000453258
66,1255.43,1.38403,1.07119,1.38648,0.89981,0.92027,0.93641,0.63075,1.20938,0.77218,1.22203,0.00044039,0.00044039,0.00044039
67,1272.79,1.39359,1.05992,1.3933,0.95834,0.92326,0.95903,0.61576,1.32303,0.7484,1.26892,0.000427565,0.000427565,0.000427565
68,1290.34,1.36703,1.01315,1.37036,0.92383,0.95072,0.96315,0.68,1.15391,0.69013,1.19428,0.000414793,0.000414793,0.000414793
69,1308.6,1.38508,1.03197,1.37775,0.9509,0.92986,0.94914,0.60838,1.34041,0.76672,1.27743,0.000402084,0.000402084,0.000402084
70,1325.63,1.3718,1.03314,1.38866,0.94542,0.93344,0.95357,0.64039,1.22527,0.73123,1.22157,0.000389445,0.000389445,0.000389445
71,1343.92,1.35683,1.0112,1.37265,0.91264,0.9289,0.95253,0.62747,1.25491,0.7402,1.22365,0.000376885,0.000376885,0.000376885
72,1361.21,1.35654,1.02554,1.37009,0.91165,0.9132,0.94367,0.62585,1.23535,0.77599,1.21696,0.000364412,0.000364412,0.000364412
73,1379.14,1.35532,1.013,1.36881,0.93019,0.91776,0.95069,0.65512,1.14292,0.71947,1.1888,0.000352037,0.000352037,0.000352037
74,1397.25,1.35103,1.00374,1.3698,0.92671,0.94671,0.95222,0.6365,1.2019,0.71952,1.21569,0.000339766,0.000339766,0.000339766
75,1414.11,1.36404,1.0216,1.3635,0.93666,0.93879,0.9597,0.6313,1.28141,0.7159,1.24727,0.000327608,0.000327608,0.000327608
