frame,total,Platinum,Black,Pineapple
0,5,0,5,0
1,5,0,5,0
2,3,0,3,0
3,3,0,3,0
4,5,0,5,0
5,5,0,5,0
6,6,0,6,0
7,6,0,6,0
8,4,0,4,0
9,4,0,4,0
10,5,0,5,0
11,5,0,5,0
12,3,0,3,0
13,3,0,3,0
14,2,0,2,0
15,2,0,2,0
16,2,0,2,0
17,2,0,2,0
18,3,0,3,0
19,3,0,3,0
20,3,0,3,0
21,3,0,3,0
22,2,0,2,0
23,2,0,2,0
24,3,0,3,0
25,3,0,3,0
26,3,0,3,0
27,3,0,3,0
28,2,0,2,0
29,2,0,2,0
30,3,0,3,0
31,3,0,3,0
32,3,0,3,0
33,3,0,3,0
34,4,0,4,0
35,4,0,4,0
36,4,0,4,0
37,4,0,4,0
38,4,0,4,0
39,4,0,4,0
40,3,0,3,0
41,3,0,3,0
42,4,0,4,0
43,4,0,4,0
44,3,0,3,0
45,3,0,3,0
46,6,0,6,0
47,6,0,6,0
48,6,0,6,0
49,6,0,6,0
50,4,0,4,0
51,4,0,4,0
52,7,0,7,0
53,7,0,7,0
54,5,0,5,0
55,5,0,5,0
56,7,0,7,0
57,7,0,7,0
58,7,0,7,0
59,7,0,7,0
60,5,0,5,0
61,5,0,5,0
62,6,0,6,0
63,6,0,6,0
64,6,0,6,0
65,6,0,6,0
66,7,0,7,0
67,7,0,7,0
68,7,0,7,0
69,7,0,7,0
70,9,0,9,0
71,9,0,9,0
72,8,0,8,0
73,8,0,8,0
74,7,0,7,0
75,7,0,7,0
76,8,0,8,0
77,8,0,8,0
78,5,0,5,0
79,5,0,5,0
80,7,0,7,0
81,7,0,7,0
82,6,0,6,0
83,6,0,6,0
84,6,0,6,0
85,6,0,6,0
86,6,0,6,0
87,6,0,6,0
88,7,0,7,0
89,7,0,7,0
90,8,0,8,0
91,8,0,8,0
92,6,0,6,0
93,6,0,6,0
94,8,0,8,0
95,8,0,8,0
96,8,0,8,0
97,8,0,8,0
98,8,0,8,0
99,8,0,8,0
100,7,0,7,0
101,7,0,7,0
102,6,0,6,0
103,6,0,6,0
104,7,0,7,0
105,7,0,7,0
106,7,0,7,0
107,7,0,7,0
108,8,0,8,0
109,8,0,8,0
110,7,0,7,0
111,7,0,7,0
112,6,0,6,0
113,6,0,6,0
114,7,0,7,0
115,7,0,7,0
116,6,0,6,0
117,6,0,6,0
118,8,0,8,0
119,8,0,8,0
120,8,0,8,0
121,8,0,8,0
122,8,0,8,0
123,8,0,8,0
124,8,0,8,0
125,8,0,8,0
126,8,0,8,0
127,8,0,8,0
128,8,0,8,0
129,8,0,8,0
130,7,0,7,0
131,7,0,7,0
132,6,0,6,0
133,6,0,6,0
134,6,0,6,0
135,6,0,6,0
136,9,0,9,0
137,9,0,9,0
138,7,0,7,0
139,7,0,7,0
140,8,0,8,0
141,8,0,8,0
142,7,0,7,0
143,7,0,7,0
144,11,0,11,0
145,11,0,11,0
146,10,0,10,0
147,10,0,10,0
148,9,0,9,0
149,9,0,9,0
150,13,0,13,0
151,13,0,13,0
152,12,0,12,0
153,12,0,12,0
154,11,0,11,0
155,11,0,11,0
156,9,0,9,0
157,9,0,9,0
158,10,0,10,0
159,10,0,10,0
160,10,0,10,0
161,10,0,10,0
162,7,0,7,0
163,7,0,7,0
164,5,0,5,0
165,5,0,5,0
166,6,0,6,0
167,6,0,6,0
168,5,0,5,0
169,5,0,5,0
170,7,0,7,0
171,7,0,7,0
172,4,0,4,0
173,4,0,4,0
174,8,0,8,0
175,8,0,8,0
176,8,0,8,0
177,8,0,8,0
178,6,0,6,0
179,6,0,6,0
180,6,0,6,0
181,6,0,6,0
182,6,0,6,0
183,6,0,6,0
184,5,0,5,0
185,5,0,5,0
186,3,0,3,0
187,3,0,3,0
188,4,0,4,0
189,4,0,4,0
190,7,0,7,0
191,7,0,7,0
192,5,0,5,0
193,5,0,5,0
194,7,0,7,0
195,7,0,7,0
196,6,0,6,0
197,6,0,6,0
198,5,0,5,0
199,5,0,5,0
200,7,0,7,0
201,7,0,7,0
202,6,0,6,0
203,6,0,6,0
204,6,0,6,0
205,6,0,6,0
206,8,0,8,0
207,8,0,8,0
208,8,0,8,0
209,8,0,8,0
210,8,0,8,0
211,8,0,8,0
212,8,0,8,0
213,8,0,8,0
214,8,0,8,0
215,8,0,8,0
216,7,0,7,0
217,7,0,7,0
