epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.622,1.91934,2.43089,1.78665,0.4209,0.35896,0.31001,0.13906,2.12784,3.01189,2.07721,0.00332764,0.00332764,0.0700513
2,229.247,1.87005,2.16208,1.78918,0.57793,0.53864,0.56491,0.28554,1.75738,2.13492,1.7165,0.006628,0.006628,0.0400183
3,327.324,1.80148,1.98864,1.72433,0.67442,0.58891,0.65841,0.35344,1.61854,1.84857,1.63203,0.00989536,0.00989536,0.00995234
4,425.65,1.73634,1.87847,1.69387,0.75234,0.69626,0.7601,0.43017,1.51245,1.32081,1.5227,0.0098515,0.0098515,0.0098515
5,537.423,1.65249,1.72576,1.62106,0.72138,0.72036,0.79851,0.44014,1.54193,1.27166,1.49266,0.009802,0.009802,0.009802
6,741.113,1.63561,1.67047,1.60782,0.80008,0.7132,0.7994,0.48081,1.44017,1.14743,1.43974,0.0097525,0.0097525,0.0097525
7,977.708,1.58326,1.60317,1.57475,0.76307,0.74136,0.81203,0.48537,1.42655,1.17513,1.43967,0.009703,0.009703,0.009703
8,1114.04,1.5642,1.57939,1.56071,0.84024,0.79473,0.84463,0.51284,1.38039,1.06024,1.41884,0.0096535,0.0096535,0.0096535
9,1200.73,1.53472,1.48718,1.52022,0.85465,0.76837,0.84818,0.53252,1.34375,1.02527,1.36456,0.009604,0.009604,0.009604
10,1290.57,1.53338,1.50377,1.51931,0.85318,0.77889,0.86162,0.51017,1.42372,1.02065,1.40859,0.0095545,0.0095545,0.0095545
11,1378.73,1.52619,1.46276,1.50548,0.85055,0.8173,0.86958,0.48414,1.52773,0.99586,1.43968,0.009505,0.009505,0.009505
12,1537.91,1.48903,1.41723,1.48499,0.85251,0.79318,0.87525,0.53175,1.35183,1.01705,1.35605,0.0094555,0.0094555,0.0094555
13,1630.3,1.47791,1.40669,1.4741,0.86087,0.80351,0.8816,0.52635,1.41839,0.94304,1.38548,0.009406,0.009406,0.009406
14,1718.74,1.45197,1.3764,1.45475,0.86049,0.80182,0.88787,0.55832,1.31704,0.93291,1.34188,0.0093565,0.0093565,0.0093565
15,1805.6,1.4502,1.33317,1.4538,0.8866,0.82053,0.89436,0.54182,1.37449,0.91625,1.3568,0.009307,0.009307,0.009307
16,1899.54,1.46301,1.36716,1.47664,0.88725,0.82147,0.90525,0.57307,1.28127,0.86577,1.32622,0.0092575,0.0092575,0.0092575
17,1991.6,1.44402,1.30391,1.45014,0.88165,0.84345,0.90674,0.5817,1.25813,0.86142,1.32312,0.009208,0.009208,0.009208
18,2083.96,1.43491,1.33003,1.45532,0.89135,0.82239,0.90659,0.55928,1.35755,0.87417,1.35678,0.0091585,0.0091585,0.0091585
19,2176.37,1.39288,1.26644,1.41024,0.89301,0.8245,0.90911,0.56914,1.32185,0.85017,1.31536,0.009109,0.009109,0.009109
20,2269.28,1.41201,1.27608,1.41792,0.89533,0.82763,0.91496,0.5779,1.30462,0.80534,1.30717,0.0090595,0.0090595,0.0090595
21,2361.08,1.39458,1.2295,1.40872,0.89626,0.84914,0.91454,0.58001,1.31374,0.832,1.32236,0.00901,0.00901,0.00901
22,2453.27,1.38608,1.22709,1.40552,0.90568,0.84691,0.92314,0.59146,1.26468,0.79989,1.29518,0.0089605,0.0089605,0.0089605
23,2544.71,1.3933,1.24319,1.41602,0.89291,0.84999,0.91825,0.58523,1.31296,0.79498,1.29704,0.008911,0.008911,0.008911
24,2636.97,1.37069,1.18622,1.39983,0.91096,0.85024,0.91843,0.59556,1.24772,0.80297,1.28319,0.0088615,0.0088615,0.0088615
25,2730.43,1.37887,1.20882,1.39604,0.92493,0.84992,0.92908,0.57674,1.32849,0.78974,1.31091,0.008812,0.008812,0.008812
26,2823.87,1.37134,1.20607,1.39396,0.88943,0.8665,0.9235,0.58789,1.29262,0.78983,1.29046,0.0087625,0.0087625,0.0087625
27,2916.05,1.35212,1.16459,1.37345,0.91601,0.86819,0.9425,0.62474,1.19706,0.73211,1.24925,0.008713,0.008713,0.008713
28,3012.14,1.37881,1.19941,1.3908,0.94118,0.85009,0.93737,0.61925,1.22956,0.74249,1.27233,0.0086635,0.0086635,0.0086635
29,3101.46,1.37742,1.17974,1.38627,0.88364,0.87186,0.92961,0.63255,1.15104,0.75435,1.23516,0.008614,0.008614,0.008614
30,3190.47,1.35459,1.15395,1.38264,0.91686,0.88522,0.94155,0.60376,1.26807,0.74399,1.27944,0.0085645,0.0085645,0.0085645
31,3282.27,1.34347,1.14778,1.3753,0.90961,0.87332,0.94083,0.62226,1.23317,0.73039,1.26637,0.008515,0.008515,0.008515
32,3374.06,1.34514,1.16084,1.38089,0.90934,0.87805,0.93858,0.618,1.21591,0.73724,1.26021,0.0084655,0.0084655,0.0084655
33,3466.47,1.343,1.13036,1.36907,0.92618,0.87447,0.94478,0.62486,1.20878,0.72354,1.24727,0.008416,0.008416,0.008416
34,3559.01,1.33282,1.11656,1.36781,0.92254,0.87453,0.9391,0.63246,1.18531,0.71894,1.23536,0.0083665,0.0083665,0.0083665
35,3652.66,1.33026,1.09418,1.35554,0.93684,0.87282,0.94785,0.61055,1.26924,0.70661,1.26286,0.008317,0.008317,0.008317
36,3744.91,1.31825,1.09055,1.35612,0.91832,0.8655,0.93967,0.61442,1.2379,0.73191,1.26439,0.0082675,0.0082675,0.0082675
37,3837.56,1.3273,1.11235,1.36076,0.91708,0.88292,0.94383,0.63178,1.19819,0.7247,1.23642,0.008218,0.008218,0.008218
38,3929.25,1.32243,1.10414,1.3558,0.92262,0.88656,0.94771,0.62379,1.23361,0.69582,1.25547,0.0081685,0.0081685,0.0081685
39,4021.79,1.31241,1.09265,1.35411,0.93039,0.88507,0.94897,0.64477,1.16336,0.69533,1.22331,0.008119,0.008119,0.008119
40,4115.2,1.32299,1.10252,1.36764,0.94434,0.88768,0.95257,0.63337,1.2006,0.70279,1.2322,0.0080695,0.0080695,0.0080695
41,4207.8,1.31431,1.07735,1.34456,0.92683,0.89402,0.9459,0.62192,1.21773,0.68756,1.2424,0.00802,0.00802,0.00802
42,4300.14,1.28971,1.04478,1.3275,0.92565,0.89633,0.9509,0.64759,1.16731,0.67124,1.22599,0.0079705,0.0079705,0.0079705
43,4391.4,1.29968,1.04698,1.33115,0.93943,0.88982,0.95309,0.64354,1.14727,0.67161,1.22119,0.007921,0.007921,0.007921
44,4483.41,1.30567,1.04661,1.33919,0.9229,0.89817,0.95257,0.63437,1.21042,0.67584,1.23519,0.0078715,0.0078715,0.0078715
45,4576.72,1.29903,1.05591,1.33109,0.93543,0.90936,0.96012,0.6503,1.15321,0.64775,1.20913,0.007822,0.007822,0.007822
46,4669.24,1.28834,1.05188,1.32551,0.93539,0.899,0.95377,0.64766,1.16358,0.67152,1.21417,0.0077725,0.0077725,0.0077725
47,4761.79,1.29098,1.02183,1.32178,0.93259,0.89805,0.95186,0.63674,1.20159,0.67631,1.23786,0.007723,0.007723,0.007723
48,4856.88,1.28145,1.02436,1.33233,0.90807,0.90826,0.94931,0.63485,1.19767,0.68833,1.23615,0.0076735,0.0076735,0.0076735
49,4949.54,1.28568,1.01673,1.32862,0.92935,0.89659,0.95034,0.64754,1.16567,0.64948,1.20975,0.007624,0.007624,0.007624
50,5041.89,1.28413,1.01722,1.32222,0.93328,0.90591,0.95285,0.64357,1.17144,0.64833,1.22119,0.0075745,0.0075745,0.0075745
51,5134.27,1.2741,1.01142,1.31302,0.94048,0.89217,0.95651,0.65871,1.12148,0.63725,1.19941,0.007525,0.007525,0.007525
52,5226.25,1.26469,0.99565,1.31888,0.94193,0.8948,0.95381,0.63423,1.23768,0.64045,1.23546,0.0074755,0.0074755,0.0074755
53,5318.14,1.27155,0.99513,1.31714,0.92279,0.91528,0.95724,0.63406,1.21981,0.64571,1.22999,0.007426,0.007426,0.007426
54,5409.96,1.26779,0.98661,1.31257,0.93332,0.92232,0.95781,0.6501,1.15653,0.62866,1.20995,0.0073765,0.0073765,0.0073765
55,5503.99,1.25249,0.9822,1.30227,0.94347,0.91076,0.96032,0.65503,1.15158,0.63562,1.20779,0.007327,0.007327,0.007327
56,5596.31,1.26739,0.99329,1.30862,0.94363,0.90895,0.96026,0.65591,1.15323,0.62039,1.20209,0.0072775,0.0072775,0.0072775
57,5688.96,1.26489,0.97979,1.30428,0.94294,0.9184,0.95885,0.64593,1.18185,0.63841,1.21424,0.007228,0.007228,0.007228
58,5781.76,1.25412,0.98568,1.30007,0.94874,0.90831,0.962,0.6664,1.13897,0.61833,1.19902,0.0071785,0.0071785,0.0071785
59,5873.65,1.25026,0.97261,1.29901,0.95158,0.89243,0.9607,0.65827,1.16697,0.61683,1.20115,0.007129,0.007129,0.007129
