video,frame,track_id,class_id,class_name,cx,cy,crossing_event,total_count
black,66,1,-1,Unknown,119.5,318.0,False,0
black,67,1,-1,Unknown,98.0,326.5,False,0
black,68,1,1,Pineapple,81.7,337.4,False,0
black,69,1,1,Pineapple,68.3,349.2,False,0
black,70,1,1,Pineapple,53.0,360.4,False,0
black,71,1,1,Pineapple,58.0,362.6,False,0
black,72,1,1,Pineapple,48.1,371.4,False,0
black,73,1,1,Pineapple,38.3,380.1,False,0
black,74,1,1,Pineapple,28.4,388.9,False,0
black,75,1,1,Pineapple,18.5,397.7,False,0
black,76,1,1,Pineapple,8.7,406.4,False,0
black,77,1,1,Pineapple,-1.2,415.2,False,0
black,78,1,1,Pineapple,-11.0,424.0,False,0
black,79,1,1,Pineapple,-20.9,432.7,False,0
black,80,1,1,Pineapple,-30.7,441.5,False,0
black,81,1,1,Pineapple,-40.6,450.3,False,0
black,82,1,1,Pineapple,-50.4,459.0,False,0
black,83,1,1,Pineapple,-60.3,467.8,False,0
black,84,1,1,Pineapple,-70.2,476.5,False,0
black,85,1,1,Pineapple,-80.0,485.3,False,0
black,86,1,1,Pineapple,-89.9,494.1,False,0
black,87,1,1,Pineapple,-99.7,502.8,False,0
black,88,1,1,Pineapple,-109.6,511.6,False,0
black,89,1,1,Pineapple,-119.4,520.4,False,0
black,90,1,1,Pineapple,-129.3,529.1,False,0
black,91,1,1,Pineapple,-139.1,537.9,False,0
black,92,2,-1,Unknown,54.5,450.0,False,0
black,93,2,-1,Unknown,54.5,450.0,False,0
black,94,2,-1,Unknown,49.5,475.5,False,0
black,95,2,-1,Unknown,49.6,485.0,False,0
black,96,2,-1,Unknown,49.3,490.7,False,0
black,97,2,-1,Unknown,48.7,499.3,False,0
black,98,2,-1,Unknown,48.0,507.9,False,0
black,99,2,-1,Unknown,47.4,516.4,False,0
black,100,2,-1,Unknown,46.8,525.0,False,0
black,101,2,-1,Unknown,46.1,533.6,False,0
black,102,2,-1,Unknown,45.5,542.2,False,0
black,103,2,-1,Unknown,44.8,550.7,False,0
black,104,2,-1,Unknown,44.2,559.3,False,0
black,105,2,-1,Unknown,43.5,567.9,False,0
black,106,2,-1,Unknown,42.9,576.5,False,0
black,107,2,-1,Unknown,42.3,585.1,False,0
black,108,2,-1,Unknown,41.6,593.6,False,0
black,108,3,-1,Unknown,357.0,149.5,False,0
black,109,2,-1,Unknown,41.0,602.2,False,0
black,109,3,-1,Unknown,357.0,149.5,False,0
black,110,2,-1,Unknown,40.3,610.8,False,0
black,110,3,-1,Unknown,357.0,149.5,False,0
black,111,2,-1,Unknown,39.7,619.4,False,0
black,111,3,-1,Unknown,338.0,179.0,False,0
black,112,2,-1,Unknown,39.0,627.9,False,0
black,112,3,-1,Unknown,331.7,188.8,False,0
black,113,2,-1,Unknown,38.4,636.5,False,0
black,113,3,-1,Unknown,325.3,198.7,False,0
black,114,2,-1,Unknown,37.8,645.1,False,0
black,114,3,-1,Unknown,319.0,208.5,False,0
black,115,2,-1,Unknown,37.1,653.7,False,0
black,115,3,-1,Unknown,291.6,228.2,False,0
black,116,2,-1,Unknown,36.5,662.2,False,0
black,116,3,-1,Unknown,281.0,240.0,False,0
black,117,3,-1,Unknown,270.4,251.9,False,0
black,118,3,-1,Unknown,259.9,263.7,False,0
black,119,3,-1,Unknown,249.3,275.5,False,0
black,120,3,-1,Unknown,227.7,275.3,False,0
black,121,3,-1,Unknown,215.9,285.7,False,0
black,122,3,-1,Unknown,204.0,296.2,False,0
black,123,3,-1,Unknown,192.2,306.6,False,0
black,124,3,-1,Unknown,180.3,317.1,False,0
black,125,3,-1,Unknown,168.5,327.6,False,0
black,126,3,-1,Unknown,156.6,338.0,False,0
black,127,3,-1,Unknown,144.8,348.5,False,0
black,128,3,-1,Unknown,133.0,358.9,False,0
black,129,3,-1,Unknown,121.1,369.4,False,0
black,130,3,-1,Unknown,109.3,379.8,False,0
black,131,3,-1,Unknown,97.4,390.3,False,0
black,132,3,-1,Unknown,85.6,400.8,False,0
black,133,3,-1,Unknown,73.7,411.2,False,0
black,134,3,-1,Unknown,61.9,421.7,False,0
black,134,4,1,Pineapple,303.0,109.5,False,0
black,135,3,-1,Unknown,50.1,432.1,False,0
black,135,4,1,Pineapple,303.0,109.5,False,0
black,136,3,-1,Unknown,38.2,442.6,False,0
black,136,4,1,Pineapple,303.0,109.5,False,0
black,137,3,-1,Unknown,26.4,453.0,False,0
black,137,4,1,Pineapple,289.0,136.0,False,0
black,138,3,-1,Unknown,14.5,463.5,False,0
black,138,4,1,Pineapple,282.4,143.8,False,0
black,138,5,-1,Unknown,121.5,362.0,False,0
black,139,3,-1,Unknown,2.7,473.9,False,0
black,139,4,1,Pineapple,276.9,152.1,False,0
black,139,5,-1,Unknown,120.0,373.5,False,0
black,140,3,-1,Unknown,-9.2,484.4,False,0
black,140,4,1,Pineapple,271.4,160.4,False,0
black,140,5,-1,Unknown,118.5,385.0,False,0
black,141,4,1,Pineapple,265.9,168.8,False,0
black,141,5,-1,Unknown,101.3,394.5,False,0
black,142,4,1,Pineapple,260.4,177.1,False,0
black,142,5,-1,Unknown,92.6,405.1,False,0
black,143,4,1,Pineapple,249.7,193.3,False,0
black,143,5,-1,Unknown,84.0,415.7,False,0
black,144,4,1,Pineapple,243.3,202.8,False,0
black,144,5,-1,Unknown,75.4,426.4,False,0
black,145,4,1,Pineapple,237.0,212.3,False,0
black,145,5,-1,Unknown,66.7,437.0,False,0
black,146,4,1,Pineapple,230.7,221.9,False,0
black,146,5,-1,Unknown,58.1,447.6,False,0
black,147,4,1,Pineapple,224.4,231.4,False,0
black,147,5,-1,Unknown,49.4,458.2,False,0
