epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.719,2.14609,2.75264,1.99057,0.42897,0.37706,0.42904,0.22209,1.95109,2.24823,1.90183,0.00333105,0.00333105,0.0700205
2,452.246,2.045,2.58545,1.9541,0.61736,0.46359,0.5001,0.24654,1.87666,1.94975,1.79124,0.0066314,0.0066314,0.0399875
3,639.705,1.94222,2.36548,1.85295,0.83215,0.44199,0.56756,0.30035,1.70378,1.77686,1.63808,0.00989874,0.00989874,0.00992156
4,989.877,1.87519,2.19275,1.80362,0.58601,0.6059,0.62716,0.33992,1.66421,1.65312,1.62854,0.0098515,0.0098515,0.0098515
5,1338.25,1.79455,2.13286,1.75304,0.67534,0.5932,0.68817,0.38309,1.58963,1.55567,1.54808,0.009802,0.009802,0.009802
6,1646.1,1.75543,2.00525,1.71324,0.69684,0.67016,0.72119,0.40417,1.57248,1.46314,1.55183,0.0097525,0.0097525,0.0097525
7,1994.91,1.70577,1.90577,1.68378,0.7483,0.7018,0.75877,0.42998,1.57435,1.35434,1.51463,0.009703,0.009703,0.009703
8,2323.35,1.66273,1.83806,1.63825,0.71089,0.70551,0.73452,0.44487,1.45299,1.374,1.47452,0.0096535,0.0096535,0.0096535
9,2577.02,1.64653,1.79379,1.64166,0.77015,0.70038,0.77031,0.45571,1.41525,1.29445,1.45139,0.009604,0.009604,0.009604
10,2728.8,1.6065,1.70733,1.60195,0.78036,0.75901,0.82137,0.49493,1.40498,1.13475,1.42207,0.0095545,0.0095545,0.0095545
11,2880.4,1.59186,1.67152,1.58871,0.83666,0.76439,0.85803,0.51009,1.45487,1.0976,1.43343,0.009505,0.009505,0.009505
12,3056.86,1.5876,1.64345,1.57719,0.74753,0.75747,0.81099,0.48507,1.42078,1.15494,1.41054,0.0094555,0.0094555,0.0094555
13,3230.76,1.55404,1.5797,1.56108,0.83124,0.79358,0.85636,0.52283,1.3909,1.07793,1.40364,0.009406,0.009406,0.009406
14,3402.94,1.53856,1.54107,1.54072,0.83303,0.78517,0.85344,0.53242,1.35436,1.01399,1.36742,0.0093565,0.0093565,0.0093565
15,3578.29,1.5092,1.48951,1.53012,0.89336,0.79873,0.88022,0.5424,1.39231,0.97717,1.39609,0.009307,0.009307,0.009307
16,3837.92,1.52279,1.51372,1.53726,0.86577,0.8063,0.88769,0.53241,1.38493,1.00363,1.37784,0.0092575,0.0092575,0.0092575
17,4187.31,1.51867,1.49533,1.52887,0.8804,0.811,0.88713,0.56298,1.29498,0.95668,1.34448,0.009208,0.009208,0.009208
18,4541.18,1.48812,1.47885,1.52159,0.89436,0.81256,0.88949,0.55551,1.35513,0.95422,1.36427,0.0091585,0.0091585,0.0091585
19,4874.87,1.46442,1.41634,1.49864,0.86346,0.8221,0.8893,0.54456,1.34736,0.96665,1.37064,0.009109,0.009109,0.009109
20,5364.02,1.47419,1.43821,1.49684,0.87837,0.82697,0.89481,0.56157,1.34057,0.94135,1.34595,0.0090595,0.0090595,0.0090595
21,5514.5,1.46938,1.38166,1.49696,0.89216,0.81307,0.89658,0.56964,1.30083,0.89108,1.33258,0.00901,0.00901,0.00901
22,5669.68,1.47513,1.40751,1.50251,0.91004,0.83433,0.90936,0.56351,1.35621,0.88239,1.34903,0.0089605,0.0089605,0.0089605
23,5843.42,1.44107,1.36099,1.47178,0.92048,0.83633,0.90925,0.58416,1.26145,0.85469,1.30886,0.008911,0.008911,0.008911
24,6018.73,1.44017,1.36685,1.4792,0.87194,0.83915,0.90067,0.56952,1.31932,0.90026,1.34077,0.0088615,0.0088615,0.0088615
25,6194.7,1.43501,1.34686,1.4677,0.90614,0.84692,0.91542,0.57881,1.30812,0.8549,1.31851,0.008812,0.008812,0.008812
26,6369.19,1.42705,1.33051,1.46807,0.89209,0.86057,0.9133,0.5825,1.30321,0.86705,1.3258,0.0087625,0.0087625,0.0087625
27,6540.78,1.41692,1.30929,1.45179,0.88116,0.85235,0.91103,0.56605,1.3266,0.85233,1.32447,0.008713,0.008713,0.008713
28,6715.61,1.41011,1.30481,1.44836,0.89629,0.86132,0.91955,0.57166,1.33327,0.84291,1.32695,0.0086635,0.0086635,0.0086635
29,6889.05,1.39269,1.26513,1.43531,0.90883,0.84959,0.91794,0.58826,1.27596,0.83715,1.30198,0.008614,0.008614,0.008614
30,7063.88,1.40077,1.25074,1.44203,0.89078,0.84907,0.91911,0.60179,1.2241,0.81231,1.28477,0.0085645,0.0085645,0.0085645
31,7238.86,1.38753,1.23357,1.42988,0.8957,0.86615,0.92445,0.58815,1.28015,0.80749,1.28945,0.008515,0.008515,0.008515
32,7411.93,1.37461,1.21778,1.41826,0.90474,0.85249,0.93031,0.60094,1.27128,0.79853,1.29594,0.0084655,0.0084655,0.0084655
33,7584.48,1.39299,1.20979,1.42372,0.90511,0.85806,0.92973,0.61564,1.21234,0.78684,1.27658,0.008416,0.008416,0.008416
34,7759.08,1.39222,1.21972,1.4288,0.92324,0.8757,0.93881,0.60818,1.25893,0.76201,1.28219,0.0083665,0.0083665,0.0083665
35,7936.59,1.36546,1.1877,1.39993,0.88529,0.85036,0.92445,0.59117,1.26803,0.79935,1.28468,0.008317,0.008317,0.008317
36,8111.47,1.33592,1.15026,1.38868,0.91152,0.86621,0.93304,0.6162,1.20662,0.75293,1.26041,0.0082675,0.0082675,0.0082675
37,8286.23,1.35106,1.17065,1.40564,0.89514,0.87212,0.92739,0.61367,1.21836,0.76571,1.26373,0.008218,0.008218,0.008218
38,8457.39,1.3365,1.16451,1.38996,0.9367,0.86679,0.9393,0.62656,1.20222,0.74049,1.25724,0.0081685,0.0081685,0.0081685
39,8630.16,1.36273,1.17767,1.41831,0.9274,0.86195,0.93223,0.60742,1.24635,0.77238,1.28486,0.008119,0.008119,0.008119
40,8803.04,1.34771,1.17001,1.40513,0.93415,0.85358,0.9406,0.61134,1.23505,0.7567,1.27042,0.0080695,0.0080695,0.0080695
41,8976.46,1.34676,1.15665,1.39986,0.9201,0.87301,0.93797,0.6039,1.258,0.75441,1.27627,0.00802,0.00802,0.00802
42,9155.6,1.32158,1.10505,1.37367,0.92698,0.86817,0.93784,0.6271,1.18295,0.7422,1.24741,0.0079705,0.0079705,0.0079705
43,9338.62,1.32269,1.10742,1.37793,0.92358,0.89186,0.94735,0.63403,1.16002,0.72072,1.23358,0.007921,0.007921,0.007921
44,9522.05,1.32653,1.13313,1.38204,0.91921,0.89343,0.94947,0.60554,1.28635,0.71497,1.2745,0.0078715,0.0078715,0.0078715
45,9702.01,1.30964,1.09058,1.37083,0.92928,0.88791,0.94628,0.62727,1.21824,0.70269,1.25072,0.007822,0.007822,0.007822
46,9878.37,1.31703,1.10569,1.37457,0.93594,0.8858,0.94768,0.62304,1.21965,0.71926,1.25555,0.0077725,0.0077725,0.0077725
47,10053,1.32754,1.10419,1.38216,0.93275,0.90405,0.95295,0.64794,1.14363,0.67783,1.21389,0.007723,0.007723,0.007723
48,10226,1.30616,1.09323,1.37028,0.92828,0.89068,0.9495,0.63115,1.19806,0.6996,1.24479,0.0076735,0.0076735,0.0076735
49,10403.1,1.31289,1.0688,1.37007,0.92234,0.89479,0.94772,0.63061,1.2157,0.69986,1.24853,0.007624,0.007624,0.007624
50,10746.7,1.27856,1.06835,1.34871,0.9347,0.88834,0.95018,0.6365,1.17262,0.6806,1.23298,0.0075745,0.0075745,0.0075745
51,11108.1,1.29469,1.06324,1.35678,0.93754,0.88261,0.94999,0.64639,1.14385,0.69353,1.21768,0.007525,0.007525,0.007525
52,11470.2,1.27918,1.06344,1.34671,0.93766,0.88534,0.94843,0.64259,1.17305,0.68488,1.22781,0.0074755,0.0074755,0.0074755
53,11842.6,1.28583,1.05909,1.34665,0.93054,0.87999,0.94585,0.63512,1.19055,0.69897,1.22843,0.007426,0.007426,0.007426
54,12202.6,1.28951,1.04991,1.36095,0.93524,0.90055,0.95752,0.64658,1.16961,0.66328,1.2153,0.0073765,0.0073765,0.0073765
55,12562.4,1.29232,1.04048,1.35866,0.94904,0.88726,0.95376,0.64154,1.17632,0.67517,1.22336,0.007327,0.007327,0.007327
56,12743.3,1.28463,1.03691,1.35135,0.94503,0.89671,0.95537,0.649,1.15663,0.65776,1.21616,0.0072775,0.0072775,0.0072775
57,12894,1.27677,1.02008,1.34249,0.93236,0.91171,0.95796,0.64347,1.18639,0.6643,1.22177,0.007228,0.007228,0.007228
